name,author,narrator,time,releasedate,language,stars,price,ratings
12 anni schiavo,SolomonNorthup,LorenzoLoreti,510,2016-04-05,italian,0.0,574.0,0.0
Ark Fever,RobertCornuke,KevinKing,389,2005-12-21,English,0.0,633.0,0.0
Driving Miss Norma: Sag Ja zum Leben,"TimBauerschmidt,RamieLiddle","ChristianBerkel,AndreaSawatzki",356,2017-08-30,german,0.0,468.0,0.0
Entdeck mich 3. Weltberühmte Expeditionen,"HeinrichZimmermann,HermannvonPückler-Muskau","HubertusGertzen,HerbertSchäfer",155,2011-03-17,german,0.0,367.0,0.0
In die Wildnis,JonKrakauer,JulianMehne,535,2018-11-05,german,0.0,736.0,0.0
Koltrastens år,JohanViktorsson,JohanSvensson,138,2018-04-17,swedish,0.0,334.0,0.0
Salvador,JonathanFranklin,PauFerrer,577,2018-04-24,spanish,0.0,691.0,0.0
Into the Storm,TristramKorten,DanWoren,588,2018-04-24,English,0.0,1005.0,0.0
Keeping My Sisters' Secrets,BeezyMarsh,AnnaParker-Naples,519,2018-04-26,English,0.0,645.0,0.0
Last Man Off,MatthewLewis,MalcolmHamilton,482,2014-07-08,English,5.0,713.0,1.0
Hold The Enlightenment,TimCahill,JeffHarding,717,2008-05-12,English,0.0,748.0,0.0
Auf der Suche nach Troja,HeinrichSchliemann,FrankArnold,77,2008-03-07,german,0.0,334.0,0.0
Finding Everett Ruess,DavidRoberts,ArthurMorey,788,2011-07-19,English,0.0,1131.0,0.0
Nel mare ci sono i coccodrilli,FabioGeda,PaoloBriguglia,251,2010-08-12,italian,0.0,497.0,0.0
Wettlauf zum Pol,"RoaldAmundsen,RobertFalconScott","HubertusGertzen,KlausSpürkel",75,2011-09-23,german,0.0,367.0,0.0
Ich war Hitlerjunge Salomon,SallyPerel,SallyPerel,149,2006-10-05,german,0.0,367.0,0.0
Le 15h17 pour Paris,"AnthonySadler,AlekSkarlatos,SpencerStone",RonanDucolomb,497,2018-02-15,french,0.0,641.0,0.0
"Wild Men, Wild Alaska",RockyMcElveen,StephenBelDavies,399,2018-10-04,English,0.0,586.0,0.0
The North Pole,RobertE.Peary,JonathanReese,568,2008-09-24,English,0.0,773.0,0.0
Lives in Ruins,MarilynJohnson,HillaryHuber,542,2013-12-29,English,0.0,938.0,0.0
Se questo è un uomo,PrimoLevi,RobertoSaviano,341,2013-08-11,italian,0.0,382.0,0.0
Die Entdeckung der Natur,DIEZEIT,N.N.,106,2016-02-23,german,0.0,166.0,0.0
Als Menschen vor dem Nichts standen,InaStrelow,AntoniaMohr,24,2012-12-20,german,0.0,65.0,0.0
Der Heilige,OliverBroudy,ElmarBörger,193,2013-08-29,german,0.0,267.0,0.0
"Everest - Himmel, Hölle, Himalaja",ReinholdMessner,ReinholdMessner,120,2006-10-24,german,0.0,334.0,0.0
Frühstück mit Elefanten: Als Rangerin in Afrika,GesaNeitzel,GesaNeitzel,583,2017-09-29,german,0.0,501.0,0.0
Am Limit,ReinholdMessner,ReinholdMessner,77,2006-10-24,german,0.0,401.0,0.0
Scott and Amundsen,RolandHuntford,TimPiggott-Smith,394,2007-03-12,English,4.0,683.0,1.0
Nanga Parbat - Der Schicksalsberg,ReinholdMessner,ReinholdMessner,98,2006-10-24,german,0.0,233.0,0.0
Leben und Werk Reinhold Messners,ReinholdMessner,ReinholdMessner,296,2015-06-26,german,0.0,1172.0,0.0
Spiritual Cross-Training,BenjaminShalva,MelFoster,315,2016-05-01,English,0.0,352.0,0.0
True Spirit,JessicaWatson,JessicaWatson,523,2015-03-10,English,0.0,805.0,0.0
Two Years Before the Mast,RichardHenryDana,PatBottino,1011,2010-05-08,English,0.0,501.0,0.0
Passion for Limits,ReinholdMessner,ReinholdMessner,106,2014-11-02,german,0.0,468.0,0.0
Scott's Last Expedition,RobertFalconScott,WilliamSutherland,1096,2001-01-16,English,0.0,1003.0,0.0
Amelia Earhart,LoriVanPelt,KrisFaulkner,314,2008-07-28,English,0.0,469.0,0.0
Discovering the City of Sodom,"DrStevenCollins,Dr.LatayneC.Scott",SeanRunnette,551,2013-12-06,English,0.0,773.0,0.0
Two Years Before the Mast,RichardHenryDana,BernardMayes,990,2006-11-29,English,0.0,937.0,0.0
David Crockett: The Lion of the West,MichaelWallis,JohnPruden,613,2011-05-16,English,0.0,836.0,0.0
Cristobal Colón,OnlineStudioProductions,uncredited,45,2015-02-18,spanish,0.0,166.0,0.0
The Third Man Factor,JohnGeiger,SeanPratt,484,2013-12-20,English,0.0,820.0,0.0
Daughter of the Territory,JacquelineHammar,BrigidLohrey,798,2015-01-10,English,0.0,793.0,0.0
The Whale Warriors,PeterHeller,JamesBoles,654,2007-10-15,English,0.0,820.0,0.0
Beyond the Hundredth Meridian,WallaceStegner,MarkBramhall,1025,2010-08-20,English,0.0,1003.0,0.0
Ruthless River,HollyFitzGerald,JorjeanaMarie,595,2017-05-30,English,0.0,1005.0,0.0
The Diary of a Forty-Niner,ChaunceyCanfield,LarryG.Jones,428,2018-02-16,English,0.0,668.0,0.0
Fighting the Flying Circus,EddieV.Rickenbacker,JohnPruden,637,2012-03-26,English,0.0,836.0,0.0
An Empire of Ice,EdwardJ.Larson,JohnAllenNelson,635,2011-06-22,English,0.0,836.0,0.0
Lost in the Yellowstone,TrumanEverts,JackSondericker,112,2008-10-27,English,0.0,350.0,0.0
Emperors of the Ice,RichardFarr,MichaelPage,304,2009-04-20,English,0.0,586.0,0.0
Limits of the Known,DavidRoberts,DavidChandler,731,2018-02-20,English,0.0,938.0,0.0
Lewis & Clark,"KenBurns,DaytonDuncan","KenBurns,AdamArkin",237,2012-02-20,English,0.0,502.0,0.0
20 Hrs. 40 Mins.,AmeliaEarhart,LeslieWalden,263,2015-01-10,English,0.0,233.0,0.0
Black Wave,"JohnSilverwood,JeanSilverwood","CarringtonMacDuffie,JoeBarrett",449,2008-07-08,English,0.0,585.0,0.0
Mawson and the Ice Men of the Heroic Age,PeterFitzSimons,PaulEnglish,1434,2012-03-02,English,0.0,1054.0,0.0
Trials of the Earth,MaryMannHamilton,BarbaraBenjaminCreel,645,2016-12-07,English,0.0,500.0,0.0
Twelve Years a Slave,SolomonNorthup,PeterJayFernandez,507,2013-03-09,English,0.0,836.0,0.0
The Carry Home,GaryFerguson,GaryFerguson,366,2015-09-10,English,0.0,668.0,0.0
High Calling,"EvelynHusband,DonnaVanLiere",EvelynHusband,282,2005-11-02,English,0.0,656.0,0.0
No Time for Fear,PauldeGelder,PauldeGelder,369,2016-09-22,English,0.0,930.0,0.0
Phenomenal,LeighAnnHenion,NicolZanzarella,640,2015-03-24,English,0.0,1005.0,0.0
Blind Descent,JamesTabor,DonLeslie,598,2010-06-15,English,0.0,1005.0,0.0
Dog Man,MarthaSherrill,LauralMerlington,378,2008-05-23,English,0.0,703.0,0.0
The Great Nadar,AdamBegley,MarkBoyett,465,2018-06-02,English,0.0,668.0,0.0
Pocahontas,JohnSmith,JonathanReese,171,2008-10-27,English,0.0,333.0,0.0
Gladys Aylward,"JanetBenge,GeoffBenge",RebeccaGallagher,283,2013-12-18,English,5.0,680.0,1.0
A Life Wild and Perilous,RobertM.Utley,RichardDavidson,837,2011-01-12,English,0.0,1003.0,0.0
Magallanes y Elcano: travesía al fin del mundo [Magellan and Elcano: crossing to the end of the world],GabrielSánchezSorondo,JoanEspinosa,550,2018-01-23,spanish,0.0,883.0,0.0
Tracking the Wild Coomba,RobertCocuzzo,JamesPatrickCronin,475,2017-12-12,English,0.0,820.0,0.0
Not Afraid of the Fall,KyleJames,AaronLandon,619,2017-10-17,English,0.0,836.0,0.0
Meriwether Lewis: Off the Edge of the Map,"GeoffBenge,JanetBenge",TimGregory,335,2017-11-10,English,0.0,762.0,0.0
Davy Crockett: Ever Westward,"JanetBenge,GeoffBenge",TimGregory,284,2017-11-10,English,0.0,703.0,0.0
Braving It,JamesCampbell,RogerWayne,597,2017-04-30,English,0.0,938.0,0.0
Dryland,NancyStearnsBercaw,DonnaPostel,434,2017-04-18,English,0.0,352.0,0.0
A Splendid Savage,SteveKemper,PeterBerkrot,885,2017-03-21,English,0.0,937.0,0.0
Lewis and Clark,RalphK.Andrist,JoeBarrett,191,2017-03-21,English,0.0,501.0,0.0
Above All Else,DanBrodsky-Chenfeld,NicholasTecosky,558,2013-01-27,English,0.0,668.0,0.0
The Calling,BarryBlanchard,BarryBlanchard,853,2017-07-03,English,0.0,1131.0,0.0
Simon Girty,EdwardButts,JonesAllen,362,2013-12-18,English,0.0,668.0,0.0
Two Years Before the Mast,RichardHenryDanaJr.,KirbyHeyborne,1020,2011-10-01,English,0.0,938.0,0.0
Gyűjtőút Guyanában,DavidAttenborough,CsőreGábor,282,2020-08-20,hungarian,0.0,401.0,0.0
Un litro di lacrime,KitoAya,VeronicaD'arconte,272,2019-11-13,italian,0.0,420.0,0.0
Resta con me,"SuseaMcGearhart,TamiOldhamAshcraft",ValentinaPollani,345,2019-11-22,italian,0.0,345.0,0.0
Ved det yderste hav,HakonMielche,SørenElungJensen,534,2019-11-14,danish,0.0,300.0,0.0
Steppenrutenpflanze,YusufYesilöz,AstridPosner,170,2018-11-14,german,0.0,233.0,0.0
Ejnar Mikkelsen. En biografi,KurtL.Frederiksen,FlemmingEnevold,681,2019-08-13,danish,0.0,468.0,0.0
Barn af besættelsen,MichaelMüller,FlemmingEnevold,677,2019-03-06,danish,0.0,468.0,0.0
Stefan Szolc-Rogoziński,"MaciejKlósak,DariuszSkonieczko",KrzysztofPlewako-Szczerbiński,764,2019-06-27,polish,0.0,367.0,0.0
Rowerem po Amazonce [Cycling Through the Amazon],PiotrChmieliński,AdrianChimiak,573,2020-02-14,polish,0.0,222.0,0.0
Alexander von Humboldt,VolkerMehnert,PeterKaempfe,114,2019-07-17,german,0.0,367.0,0.0
Entdeck mich 2. Weltberühmte Expeditionen,"CharlesDarwin,SirRichardFrancisBurton,FridtjofNansen","FrankArnold,JohannesSteck,GerdWameling",295,2010-05-27,german,0.0,468.0,0.0
Mikroabenteuer - Das Praxisbuch,ChristoFoerster,ChristoFoerster,263,2020-09-21,german,0.0,568.0,0.0
Globe-trotter des extrèmes [Extreme Globetrotter],SoniaSarfati,PierreCorriveau,265,2020-08-20,french,0.0,856.0,0.0
Récits d'Ascensions,DanielGrévoz,BernardPaccot,71,2019-09-13,french,0.0,452.0,0.0
"Cambodge, je me souviens",MéasPech-Métral,PerrineVirgitti,168,2016-11-17,french,0.0,301.0,0.0
The Twenty-Ninth Day,AlexMessenger,AlexMessenger,462,2019-12-11,English,4.0,608.0,1.0
The Mapmaker's Wife,RobertWhitaker,EricJasonMartin,630,2019-07-30,English,0.0,703.0,0.0
Your Blue Is Not My Blue,AspenMatis,SusannahJones,590,2020-01-06,English,0.0,1008.0,0.0
Great Exploration Hoaxes,DavidRoberts,DaviddeVries,487,2020-12-08,English,0.0,844.0,0.0
South,ErnestShackleton,RupertDegas,948,2019-08-11,English,0.0,915.0,0.0
My Old Man and the Mountain,LeifWhittaker,EricMichaelSummerer,611,2020-09-29,English,0.0,703.0,0.0
Ada Blackjack,JenniferNiven,LauralMerlington,863,2020-06-30,English,0.0,703.0,0.0
Escalante's Dream,DavidRoberts,RobertFass,688,2019-08-27,English,0.0,586.0,0.0
Pedro Carlos de Foucald: El mártir de la intolerancia religiosa [Pedro Carlos de Foucald: The Martyr of Religious Intolerance],OnlineStudioProductions,uncredited,22,2016-05-24,spanish,0.0,164.0,0.0
The Real James Bond,JimWright,RaphaelCorkhill,276,2020-08-19,English,0.0,585.0,0.0
Endless Novelties of Extraordinary Interest,DougMacdougall,SeanRunnette,536,2019-08-20,English,0.0,703.0,0.0
Out of the Ashes,CharlieMorecraft,MichaelMcConnohie,481,2012-02-10,English,0.0,500.0,0.0
Josef's Journey,ElsiePoorbaugh,AllenHite,151,2009-11-02,English,0.0,304.0,0.0
Before the Wind,CharlesTyng,StefanRudnicki,296,2009-05-22,English,0.0,501.0,0.0
Walter Ralegh,AlanGallay,PaulHodgson,1178,2019-12-20,English,0.0,500.0,0.0
Waco,"DavidThibodeau,LeonWhiteson,AvivaLayton","RobertFass,DavidThibodeau",800,2019-10-23,English,0.0,500.0,0.0
Hangdog Days,JeffSmoot,DannyCampbell,749,2019-04-06,English,0.0,703.0,0.0
Lost!,ThomasThompson,ShawnCompton,400,2019-04-16,English,0.0,586.0,0.0
Walking Thru,MichaelTyler,WilliamSarris,331,2019-08-27,English,3.0,586.0,1.0
Sea Fever,SamJefferson,StephenThorne,802,2015-12-03,English,0.0,836.0,0.0
A Man Most Driven,PeterFirstbrook,BarnabyEdwards,817,2015-01-29,English,0.0,793.0,0.0
Slow Road to San Francisco,DavidReynolds,TimBentinck,831,2020-08-20,English,0.0,835.0,0.0
The Boy with Two Hearts,HamedAmiri,HomerTodiwala,454,2020-07-30,English,0.0,645.0,0.0
The Rugmaker of Mazar e Sharif,"NajafMazar,RobertHillman",HumphreyBower,465,2019-01-07,English,0.0,1063.0,0.0
Taking Aim,"EvaShockey,A.J.Gregory",EvaShockey,313,2017-08-29,English,0.0,754.0,0.0
The Life and Adventures of Nat Love,NatLove,ChrisMatthews,248,2021-01-14,English,0.0,234.0,0.0
Sechs Paar Schuhe,"ThorBraarvig,MariaBraarvig",DominicKolb,446,2021-01-15,german,0.0,669.0,0.0
Libre y salvaje (Narración en Castellano) [Wild and Free],IgnacioDean,CarlesSianes,756,2020-08-12,spanish,0.0,883.0,0.0
Narrative of the Most Extraordinary and Distressing Shipwreck of the Whaleship Essex,OwenChase,AndreStojka,186,2013-12-29,English,0.0,501.0,0.0
How to Fail at Almost Everything and Still Win Big,ScottAdams,ScottAdams,522,2022-10-02,English,4.5,888.0,2.0
These Precious Days,AnnPatchett,AnnPatchett,673,2021-11-23,English,4.5,1025.0,3.0
"Eat, Pray, Love",ElizabethGilbert,ElizabethGilbert,770,2009-10-23,English,4.5,937.0,100.0
My Story,KamalaDas,SuchitraKoliyot,551,2020-08-13,English,4.0,668.0,20.0
Daily Rituals,MasonCurrey,AdamVerner,373,2013-09-12,English,4.0,668.0,7.0
Lone Fox Dancing,RuskinBond,UdaiMatthan,558,2018-06-08,English,5.0,440.0,56.0
What I Talk About When I Talk About Running,HarukiMurakami,RayPorter,263,2016-07-07,English,4.5,398.0,193.0
Meri Duniya Mere Dost [My World My Friend],KhushwantSingh,DineshVerma,469,2020-10-06,Hindi,4.5,668.0,8.0
Dhoop Mein Nange Paon [Bare Feet in the Sun],SwayamPrakash,BablaKochhar,648,2020-10-06,Hindi,4.5,836.0,7.0
Meri Jeewan Gatha [My Life Story],R.K.Narayan,BablaKochhar,450,2020-06-17,Hindi,4.5,668.0,6.0
Why Be Happy When You Could Be Normal?,JeanetteWinterson,JeanetteWinterson,365,2012-12-03,English,4.5,558.0,13.0
J. Krishnamurti (Hindi Edition),MaryLutyens,ShonaliSarkar,759,2020-10-06,Hindi,4.5,836.0,10.0
Raymond Carver's What We Talk About When We Talk About Love,BrianEvenson,BrianEvenson,198,2022-08-03,English,0.0,501.0,0.0
In the Margins,ElenaFerrante,HillaryHuber,142,2022-03-15,English,0.0,632.0,0.0
Letter to My Daughter,MayaAngelou,MayaAngelou,152,2008-10-13,English,4.5,452.0,24.0
"En Sarithiram, Part 1 [My History, Part 1]",U.V.SwaminathaIyer,SriSrinivasa,605,2021-11-23,tamil,0.0,118.0,0.0
L'amore è tutto: è tutto ciò che so dell'amore,MichelaMarzano,CinziaPoli,235,2022-04-04,italian,0.0,190.0,0.0
How to End a Story,HelenGarner,HelenGarner,480,2022-01-04,English,0.0,1063.0,0.0
Mother's Boy,HowardJacobson,HowardJacobson,521,2022-03-03,English,0.0,888.0,0.0
Mohan Rakesh Ki Diary [Diary of Mohan Rakesh],MohanRakesh,SanyamSharma,872,2020-08-13,Hindi,5.0,836.0,6.0
Travels with Herodotus,RyszardKapuscinski,NicolasCoster,603,2022-03-31,English,0.0,585.0,0.0
The George Orwell Non-Fiction Collection,GeorgeOrwell,"JonathanKeeble,PeterNoble,MalkWilliams",2008,2021-12-16,English,0.0,1518.0,0.0
Poet Warrior,JoyHarjo,JoyHarjo,319,2021-11-30,English,0.0,668.0,0.0
Shashi Deshpande: Solitude of the Spirited Storyteller,RanjanKamath,ShashiDeshpande,130,2022-01-02,English,0.0,352.0,0.0
Rahel Varnhagen,"HannahArendt,ClaraWinston-translator,RichardWinston-translator",SuzanneToren,628,2022-01-25,English,0.0,586.0,0.0
Looking for the Enemy,BetteDam,MelitaCameron-Wood,630,2022-12-01,English,0.0,1519.0,0.0
The Newspaper Axis,KathrynS.Olmsted,KatherineFelton,700,2022-03-22,English,0.0,516.0,0.0
"En Sarithiram, Part 2 [My History, Part 2]",U.V.SwaminathaIyer,SriSrinivasa,597,2021-11-23,tamil,5.0,118.0,3.0
"Nagme, Kisse, Baatein, Yaadein",RakeshAnandBakshi,DevJ.Haldar,441,2022-01-14,English,0.0,879.0,0.0
"Yeh Kalam Yeh Kagaz Yeh Akshar [This Art, This Paper, This Letter]",AmritaPritam,ShwetaKulkarni,367,2022-01-20,Hindi,0.0,0.0,0.0
Thomas Mann (1875-1955) Basiswissen,BertAlexanderPetzold,RenéWagner,139,2021-12-21,german,0.0,434.0,0.0
Boyhood,J.M.Coetzee,WilliamGaminara,333,2021-02-09,English,0.0,569.0,0.0
"Regrets, None","DollyThakore,ArghyaLahiri",DollyThakore,1125,2021-12-15,English,2.0,1688.0,1.0
Sun and Steel,YukioMishima,MatthewTaylor,156,2021-12-04,English,4.0,351.0,1.0
Surprised by Joy,C.S.Lewis,RalphCosham,397,2005-05-13,English,4.5,702.0,3.0
Oscar Wilde,MatthewSturgis,JohnPirkis,2067,2021-12-10,English,0.0,1759.0,0.0
The Writer’s Crusade,TomRoston,JimFrangione,416,2021-09-11,English,0.0,913.0,0.0
Toni Morrison's Spiritual Vision,NadraNittle,LisaReneéPitts,402,2022-08-02,English,0.0,586.0,0.0
Ayn Rand Answers,AynRand,BernadetteDunne,600,2009-04-08,English,0.0,702.0,0.0
"Ghalib: The Man, the Times",PavanK.Varma,VikrantChaturvedi,534,2018-01-12,English,4.5,879.0,3.0
Rain in the Mountains,RuskinBond,DeoHaldar,403,2021-03-04,English,5.0,754.0,1.0
Das Schönste vom Schwager,HerbertSchneider,HerbertSchneider,46,2022-04-01,german,0.0,233.0,0.0
The Young H.G. Wells,ClaireTomalin,LeightonPugh,503,2021-04-11,English,0.0,888.0,0.0
Walden,HenryDavidThoreau,AlecSand,605,2009-09-24,English,4.5,836.0,2.0
The Real Hergé,SianLye,SimonVance,400,2021-06-02,English,0.0,703.0,0.0
Hell,JeffreyArcher,JonathanKeeble,425,2021-04-21,English,0.0,434.0,0.0
Subversive,CrystalDowning,NanMcNamara,407,2021-11-30,English,0.0,586.0,0.0
James Joyce,ColinMacCabe,StewartCrank,243,2022-03-01,English,0.0,469.0,0.0
Shakespeare,BillBryson,AlfonsoMendiguchía,377,2021-01-10,spanish,0.0,307.0,0.0
Ladrona de rosas,LauraFreixasRevuelta,MartaAparicio,655,2021-08-26,spanish,0.0,345.0,0.0
Fear and Loathing in Las Vegas,HunterS.Thompson,RonMcLarty,360,2005-09-26,English,4.5,469.0,3.0
On the Grand Trunk Road,SteveColl,FajerAl-Kaisi,862,2014-05-29,English,4.0,836.0,1.0
Frantumaglia,ElenaFerrante,HillaryHuber,830,2022-03-01,English,0.0,937.0,0.0
"Wie man wird, was man ist",IrvinD.Yalom,RenierBaaken,849,2021-10-28,german,0.0,904.0,0.0
The Life of the Author,RichardBradford,DavidVickery,570,2021-09-21,English,0.0,586.0,0.0
The Isolation Artist,BobKeyes,TraberBurns,407,2021-07-09,English,0.0,820.0,0.0
The Letters of Shirley Jackson,"ShirleyJackson,LaurenceJacksonHyman-editor,BerniceM.Murphy-editor","KirstenPotter,GaryBennett,LindaJones",1137,2021-07-13,English,0.0,1382.0,0.0
"Amours, délices et orgues [Loves, Delights and Organs]",FrançoisDompierre,FrançoisDompierre,652,2022-03-30,french,0.0,752.0,0.0
Diamonds and Deadlines,BetsyPrioleau,BethHicks,571,2022-03-29,English,0.0,820.0,0.0
Savage Beauty,NancyMilford,BernadetteDunne,1479,2022-03-29,English,0.0,1570.0,0.0
The Nine Lives of Pakistan,DeclanWalsh,RogerClark,673,2021-02-16,English,4.0,703.0,16.0
No One Round Here Reads Tolstoy,MarkHodkinson,MarkHodkinson,668,2022-03-02,English,0.0,797.0,0.0
Por si las voces vuelven,ÁngelMartín,ÁngelMartín,258,2021-11-17,spanish,5.0,729.0,1.0
The Storytellers,MarkRubinstein,"RobertsonDean,SimonVance,KirstenPotter,",583,2021-07-20,English,0.0,937.0,0.0
Living to Tell the Tale,GabrielGarcíaMárquez,ChristopherSalazar,1262,2021-01-06,English,0.0,1289.0,0.0
Dostoevsky in Love,AlexChristofi,JonathanKeeble,498,2021-08-07,English,0.0,645.0,0.0
Manifesto,BernardineEvaristo,BernardineEvaristo,368,2021-07-10,English,5.0,888.0,1.0
The Columnist,DonaldA.Ritchie,GrahamRowat,751,2022-01-25,English,0.0,586.0,0.0
The Last Bookseller,GaryGoodman,TristanMorris,355,2022-01-25,English,0.0,586.0,0.0
Purgatory,JeffreyArcher,JonathanKeeble,446,2021-04-21,English,0.0,434.0,0.0
Heaven,JeffreyArcher,JonathanKeeble,578,2021-04-21,English,0.0,434.0,0.0
Just Kids,PattiSmith,IsabelleHuppert,527,2021-06-16,french,0.0,870.0,0.0
Soledad & Compañía,SilvanaPaternostro,DanielaSierra,514,2021-06-22,spanish,0.0,795.0,0.0
Thomas More,HansAchterhuis,HansAchterhuis,78,2019-02-08,dutch,0.0,300.0,0.0
Mom & Me & Mom,MayaAngelou,MayaAngelou,240,2013-02-04,English,5.0,754.0,9.0
Joseph Anton,SalmanRushdie,"SalmanRushdie,SamDastor",1620,2012-09-18,English,4.0,957.0,6.0
A Prison Diary,JeffreyArcher,MartinJarvis,445,2003-08-22,English,5.0,668.0,3.0
Lucknow Boy,VinodMehta,ShahzadBhiwandiwala,607,2020-08-19,English,4.0,879.0,10.0
A Map of Longings,MananKapoor,PaulHottam,371,2022-09-02,English,0.0,879.0,0.0
Lettere 1924-1934,CesarePavese,GiulianoBonetto,532,2022-01-28,italian,0.0,190.0,0.0
Gespräche mit Goethe in den letzten Jahren seines Lebens,"JohannWolfgangvonGoethe,JohannPeterEckermann",KarlheinzGabor,1687,2022-01-02,german,0.0,837.0,0.0
Diario di una viaggiatrice eccentrica,SilviaBisconti,ViolaGraziosi,329,2022-03-02,italian,0.0,267.0,0.0
La vita non è un film,PinoInsegno,PinoInsegno,369,2022-03-02,italian,0.0,535.0,0.0
Giovanni Verga,BorisBertolini,WilliamAngiuli,59,2022-02-02,italian,0.0,113.0,0.0
Hitch-22,ChristopherHitchens,ChristopherHitchens,1049,2011-12-26,English,5.0,873.0,6.0
Roads to Mussoorie,RuskinBond,FredStella,185,2017-01-18,English,4.5,186.0,15.0
Wild Ducks Flying Backward,TomRobbins,TomRobbins,397,2005-08-29,English,0.0,753.0,0.0
The Turning Point,RobertDouglas-Fairhurst,PhilipStevens,703,2021-02-09,English,0.0,888.0,0.0
"Speak, Silence",CaroleAngier,KristinAtherton,1193,2021-08-19,English,0.0,1784.0,0.0
Love in a Time of War,LaraMarlowe,LaraMarlowe,923,2021-02-11,English,0.0,728.0,0.0
Manifesto - Warum ich niemals aufgebe,BernardineEvaristo,Lara-SophieMilagro,399,2022-01-29,german,0.0,535.0,0.0
Orwell's Roses,RebeccaSolnit,RebeccaSolnit,471,2022-03-30,English,0.0,669.0,0.0
Dear Reader,CathyRentzenbrink,CathyRentzenbrink,259,2020-09-17,English,0.0,323.0,0.0
The Unabridged Journals of Sylvia Plath,"SylviaPlath,KarenV.Kukil-editor",TanyaEby,1826,2019-05-28,English,4.5,1055.0,2.0
Speak Memory,VladimirNabokov,StefanRudnicki,587,2010-11-23,English,0.0,891.0,0.0
On Writers and Writing,MargaretAtwood,MargaretAtwood,393,2020-11-18,English,5.0,668.0,3.0
Rabindranath Tagore,SabyasachiBhattacharya,AnujDatta,631,2020-11-21,English,4.5,879.0,7.0
Journal of a Novel: The East of Eden Letters,JohnSteinbeck,ChristopherRagland,540,2021-04-15,English,0.0,888.0,0.0
The Pity of Partition,AyeshaJalal,SanjivJhaveri,454,2013-10-05,English,4.0,668.0,4.0
The Polymath,PeterBurke,NigelPatterson,708,2020-08-09,English,3.0,703.0,1.0
Emerson,RobertD.Richardson,MichaelMcConnohie,1568,2012-08-10,English,0.0,1338.0,0.0
I morgen skal vi hjem,PaulaLarrain,PaulaLarrain,251,2022-07-01,danish,0.0,233.0,0.0
Elena Ferrante (Portuguese Edition),FabianeSecches,LaraAufranc,527,2022-03-01,portuguese,0.0,668.0,0.0
Klaus Mann: Mephisto,KlausMann,IngolfKloss,713,2021-12-29,german,0.0,434.0,0.0
"Laugh Everyday, No Matter What",GregMacNeil,KevinWagner,259,2022-06-01,English,0.0,464.0,0.0
Franz Kafka (1883-1924) Basiswissen,BertAlexanderPetzold,RenéWagner,166,2021-12-21,german,0.0,434.0,0.0
Prove di autobiografia,LucaRonconi,GianniQuillico,450,2022-11-01,italian,0.0,305.0,0.0
Homage to Catalonia,GeorgeOrwell,MalkWilliams,537,2021-12-20,English,5.0,759.0,1.0
In viaggio con Erodoto,RyzsardKapucinski,MarcoBaliani,458,2021-12-17,italian,0.0,420.0,0.0
Clairvoyant of the Small,SusanBernofsky,NatashaSoudek,941,2022-11-01,English,0.0,820.0,0.0
I coetanei,ElsaDe'Giorgi,AnitaZagaria,562,2022-06-01,italian,0.0,689.0,0.0
Meet Me in Buenos Aires,MarleneHobsbawn,CharlotteStrevens,300,2021-12-20,English,0.0,300.0,0.0
Better to Have Loved,"JudithMerril,EmilyPohl-Weary",VanessaWarne,786,2021-12-20,English,0.0,469.0,0.0
Wien,HedwigHeger,AxelThielmann,77,2021-08-12,german,0.0,233.0,0.0
Weimar,AnnetteSeemann,"KerstinHoffmann,AxelThielmann",63,2021-08-12,german,0.0,233.0,0.0
Caroline Schlegel-Schelling,SigridDamm,SigridDamm,222,2021-08-12,german,0.0,233.0,0.0
"Scherzi, risate e qualcosa di serio",AdalbertoMariaMerli,AdalbertoMariaMerli,477,2021-12-31,italian,0.0,305.0,0.0
Hier geht's lang!,ElkeHeidenreich,ElkeHeidenreich,198,2021-03-12,german,0.0,535.0,0.0
Enfermé para sanar,MarinaBorensztein,MarinaBorensztein,532,2021-02-12,spanish,0.0,1496.0,0.0
Eremita a Parigi,ItaloCalvino,FabrizioRocchi,462,2021-01-12,italian,0.0,267.0,0.0
Beirut 2020,CharifMajdalani,AlexanderDevrient,179,2021-11-30,English,0.0,569.0,0.0
Tagebücher 1929,HarryGrafKessler,OrgDubonton,47,2021-12-18,german,0.0,166.0,0.0
Tagebücher 1928,HarryGrafKessler,OrgDubonton,51,2021-11-12,german,0.0,166.0,0.0
Balladen om Marie,AnastassiaArnold,HanneNielsen,1207,2021-11-23,danish,0.0,300.0,0.0
The Oaken Heart,MargeryAllingham,GeorginaSutton,564,2021-11-30,English,0.0,633.0,0.0
Temps d'una espera,CarmeRiera,MartaBegué,256,2021-11-23,catalan,0.0,767.0,0.0
Ingeborg Bachmann (1926-1973) Basiswissen,BertAlexanderPetzold,CoraHillekamp,81,2021-11-19,german,0.0,434.0,0.0
Globe,CatharineArnold,ClareStaniforth,562,2021-11-30,English,0.0,586.0,0.0
Charles Addams,LindaH.Davis,SteveMenasche,778,2021-11-23,English,0.0,703.0,0.0
Анна Павлова,"ВалерийНикитин,ВикторДандре",АлександрБордуков,768,2021-11-17,russian,0.0,99.0,0.0
Pure Act,MichaelN.McGregor,JoeKnezevich,958,2021-11-23,English,0.0,657.0,0.0
