name,author,narrator,time,releasedate,language,stars,price,ratings
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,DavPilkey,"LenForgione,AshtonSundholm,JadenRogers",130,2021-02-11,English,5.0,445.0,1.0
You Only Die Twice,DanGutman,MichaelGoldstrom,349,2013-09-17,English,5.0,585.0,5.0
From Texas with Love,DanGutman,MichaelGoldstrom,327,2014-01-28,English,5.0,702.0,6.0
Across the Desert,DustiBowling,StacyGonzalez,373,2022-03-29,English,0.0,703.0,0.0
Unicorn Academy: Aisha and Silver,JulieSykes,KristinAtherton,94,2022-10-03,English,0.0,266.0,0.0
Laura Blackman and The Five Cunning Aardvarks,StellaRobson,DerekSteel,13,2021-12-15,English,0.0,117.0,0.0
The Dragonet Prophecy,TuiT.Sutherland,ShannonMcManus,512,2012-01-07,English,5.0,820.0,11.0
Dangerous Gift,TuiT.Sutherland,ShannonMcManus,471,2021-02-03,English,5.0,445.0,9.0
"The 39 Clues, Book 6",JudeWatson,DavidPittu,310,2009-06-11,English,5.0,468.0,4.0
Never Say Genius,DanGutman,MichaelGoldstrom,327,2013-08-23,English,5.0,585.0,8.0
The Madman of Black Bear Mountain,FranklinW.Dixon,TimGregory,174,2016-07-06,English,5.0,305.0,3.0
Unicorn Academy: Zara and Moonbeam,JulieSykes,KristinAtherton,95,2022-10-03,English,0.0,266.0,0.0
El fantasma de la bodega,FranciscoDíazValladares,NuriaSamsó,143,2022-04-04,spanish,0.0,192.0,0.0
El paseo encantado,Mattel,VanessaPérezJurado,33,2022-01-04,spanish,0.0,76.0,0.0
Wigetta,"Vegetta777,Willyrex",ÁlexdePorrata,217,2022-05-04,spanish,0.0,192.0,0.0
Aru Shah and the Nectar of Immortality,RoshaniChokshi,SoneelaNankani,679,2022-05-04,English,0.0,821.0,0.0
Barnabas der Wolkenschaufler,"SophieSchoenwald,NadineReitz-Illustrator",BerndReheuser,176,2022-04-04,german,0.0,200.0,0.0
The Boy in the Post,HollyRivers,SusieTrayling,418,2022-01-04,English,0.0,706.0,0.0
Thornwood,LeahCypess,JessicaAlmasy,341,2022-05-04,English,0.0,904.0,0.0
7 histoires d'aventures !,"BertrandFichou,NoraThullin,CatherinedeLasa,","GuyChappelier,FrédéricSanchez,MarieZidi,",43,2022-11-02,french,0.0,679.0,0.0
Le Loup qui devenait chef de la forêt,OrianneLallemand,WillProduction,9,2022-01-04,french,0.0,112.0,0.0
Curse of the Robo-Dragon,AdamBlade,TheoSolomon,126,2022-01-04,English,0.0,531.0,0.0
Call of the Crow,JessicaKhoury,"MichaelGallagher,EmilyEiden",570,2022-05-04,English,0.0,586.0,0.0
Glass Slippers,LeahCypess,KeylorLeigh,338,2022-05-04,English,0.0,904.0,0.0
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",97,2022-05-04,English,0.0,586.0,0.0
Tiger Honor,YoonHaLee,ElissaPark,456,2022-04-01,English,5.0,586.0,1.0
The Amulet of Samarkand,JonathanStroud,StevenPacey,570,2007-01-02,English,5.0,683.0,17.0
Rowley Jefferson's Awesome Friendly Spooky Stories,JeffKinney,ChristopherGebauer,89,2021-03-16,English,3.5,410.0,7.0
Lost in the End,WinterMorgan,SummerMcCusker,103,2016-06-04,English,5.0,233.0,5.0
Trouble Island,FranklinW.Dixon,TimGregory,264,2021-01-06,English,5.0,305.0,2.0
Terrors of the Forest,MarkCheverton,NickWalther,492,2022-01-25,English,0.0,703.0,0.0
Riverboat Roulette,CarolynKeene,JorjeanaMarie,166,2017-03-20,English,5.0,305.0,4.0
The Book of Chaos,JessicaRenwick,RebaBuhr,330,2022-03-15,English,0.0,1172.0,0.0
"Fortunately, the Milk...",NeilGaiman,NeilGaiman,58,2021-11-22,English,0.0,683.0,0.0
Discoveries in the Overworld,WinterMorgan,SummerMcCusker,109,2016-06-04,English,5.0,233.0,4.0
The Last Human,LeeBacon,PaulPanting,402,2019-03-10,English,5.0,949.0,7.0
Welcome to Smellville,R.L.Stine,"JordanFisher,DaschaPolanco,JonieceAbbott-Pratt,",198,2020-09-29,English,0.0,585.0,0.0
An Explorer's Guide to the Nether,WinterMorgan,SummerMcCusker,110,2016-03-30,English,5.0,233.0,4.0
The Midnight Gang,DavidWalliams,"DavidWalliams,PeterSerafinowicz,MorwennaBanks,",369,2016-11-15,English,4.5,322.0,3.0
As the Falcon Flies,FranklinW.Dixon,AdamVerner,188,2022-04-01,English,0.0,305.0,0.0
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,DevinHunter,RamonDeOcampo,131,2018-10-30,English,5.0,585.0,2.0
Pahua and the Soul Stealer,LoriM.Lee,SamanthaTan,672,2021-07-09,English,0.0,702.0,0.0
El monstruo marino secreto,Mattel,VanessaPérezJurado,30,2022-01-04,spanish,0.0,76.0,0.0
Sabotage on the Solar Express,"M.G.Leonard,SamSedgman","ElisaPaganelli,JotDavies",335,2022-02-17,English,0.0,323.0,0.0
A Boy Called Christmas,MattHaig,StephenFry,272,2016-03-11,English,4.5,569.0,21.0
"The 39 Clues, Book 4",JudeWatson,DavidPittu,277,2009-06-23,English,5.0,468.0,6.0
"The 39 Clues, Book 3",PeterLerangis,DavidPittu,231,2009-03-03,English,5.0,468.0,9.0
The Disappearance,FranklinW.Dixon,TimGregory,230,2019-05-14,English,4.0,305.0,1.0
Once Upon a Crime,RobinStevens,"KatieLeung,RebeccaLee,AlexanderCapon,",410,2021-05-08,English,0.0,615.0,0.0
Billionaire Boy,DavidWalliams,"DavidWalliams,NitinGanatra",188,2011-09-06,English,5.0,266.0,1.0
The Blue Lady of Coffin Hall,CarolynKeene,JorjeanaMarie,232,2022-04-01,English,5.0,305.0,2.0
Danger at Dead Man's Pass,"M.G.Leonard,SamSedgman,ElisaPaganelli-illustrator",JotDavies,408,2021-09-16,English,0.0,323.0,0.0
Unlocked,ShannonMessenger,CaitlinKelly,962,2021-04-06,English,3.0,836.0,5.0
